0.00105885,0.00105885
2.38834,1.56359
4.32223,2.63624
6.18304,3.20451
7.99999,3.38715
9.81695,3.20451
11.6778,2.63624
13.6117,1.56359
15.9989,0.00105885
1.56359,2.38834
2.45769,2.45769
4.34372,3.23202
6.17548,3.79966
7.99999,3.98873
9.82451,3.79965
11.6563,3.23202
13.5423,2.45768
14.4364,2.38834
2.63624,4.32223
3.23202,4.34372
4.50508,4.50508
6.22151,4.87241
7.99999,5.02669
9.77848,4.87241
11.4949,4.50508
12.768,4.34372
13.3637,4.32223
3.20451,6.18304
3.79965,6.17548
4.87241,6.22151
6.32515,6.32515
7.99999,6.40534
9.67484,6.32515
11.1276,6.22151
12.2003,6.17548
12.7955,6.18304
3.38715,7.99999
3.98873,7.99999
5.02668,7.99999
6.40534,7.99999
7.99999,7.99999
9.59465,7.99999
10.9733,7.99999
12.0113,7.99999
12.6128,7.99999
3.20451,9.81695
3.79965,9.82451
4.87241,9.77848
6.32515,9.67484
7.99999,9.59465
9.67484,9.67484
11.1276,9.77848
12.2003,9.82451
12.7955,9.81695
2.63624,11.6778
3.23202,11.6563
4.50508,11.4949
6.2215,11.1276
7.99999,10.9733
9.77848,11.1276
11.4949,11.4949
12.768,11.6563
13.3637,11.6778
1.56359,13.6117
2.45768,13.5423
4.34371,12.768
6.17548,12.2003
7.99999,12.0113
9.82451,12.2003
11.6563,12.768
13.5423,13.5423
14.4364,13.6117
0.00105885,15.9989
2.38834,14.4364
4.32223,13.3637
6.18304,12.7955
7.99999,12.6128
9.81695,12.7955
11.6778,13.3637
13.6117,14.4364
15.9989,15.9989
