1,0,1
2,1,1
3,2,1
4,3,1
5,4,1
6,5,1
7,6,1
8,7,1
9,8,1
10,9,1
11,0,1
11,1,1.41421
12,11,1
12,1,1
12,2,1.41421
12,0,1.41421
13,12,1
13,2,1
13,3,1.41421
13,1,1.41421
14,13,1
14,3,1
14,4,1.41421
14,2,1.41421
15,14,1
15,4,1
15,5,1.41421
15,3,1.41421
16,15,1
16,5,1
16,6,1.41421
16,4,1.41421
17,16,1
17,6,1
17,7,1.41421
17,5,1.41421
18,17,1
18,7,1
18,8,1.41421
18,6,1.41421
19,18,1
19,8,1
19,9,1.41421
19,7,1.41421
20,19,1
20,9,1
20,10,1.41421
20,8,1.41421
21,20,1
21,10,1
21,9,1.41421
22,11,1
22,12,1.41421
23,22,1
23,12,1
23,13,1.41421
23,11,1.41421
24,23,1
24,13,1
24,14,1.41421
24,12,1.41421
25,24,1
25,14,1
25,15,1.41421
25,13,1.41421
26,25,1
26,15,1
26,16,1.41421
26,14,1.41421
27,26,1
27,16,1
27,17,1.41421
27,15,1.41421
28,27,1
28,17,1
28,18,1.41421
28,16,1.41421
29,28,1
29,18,1
29,19,1.41421
29,17,1.41421
30,29,1
30,19,1
30,20,1.41421
30,18,1.41421
31,30,1
31,20,1
31,21,1.41421
31,19,1.41421
32,31,1
32,21,1
32,20,1.41421
33,22,1
33,23,1.41421
34,33,1
34,23,1
34,24,1.41421
34,22,1.41421
35,34,1
35,24,1
35,25,1.41421
35,23,1.41421
36,35,1
36,25,1
36,26,1.41421
36,24,1.41421
37,36,1
37,26,1
37,27,1.41421
37,25,1.41421
38,37,1
38,27,1
38,28,1.41421
38,26,1.41421
39,38,1
39,28,1
39,29,1.41421
39,27,1.41421
40,39,1
40,29,1
40,30,1.41421
40,28,1.41421
41,40,1
41,30,1
41,31,1.41421
41,29,1.41421
42,41,1
42,31,1
42,32,1.41421
42,30,1.41421
43,42,1
43,32,1
43,31,1.41421
44,33,1
44,34,1.41421
45,44,1
45,34,1
45,35,1.41421
45,33,1.41421
46,45,1
46,35,1
46,36,1.41421
46,34,1.41421
47,46,1
47,36,1
47,37,1.41421
47,35,1.41421
48,47,1
48,37,1
48,38,1.41421
48,36,1.41421
49,48,1
49,38,1
49,39,1.41421
49,37,1.41421
50,49,1
50,39,1
50,40,1.41421
50,38,1.41421
51,50,1
51,40,1
51,41,1.41421
51,39,1.41421
52,51,1
52,41,1
52,42,1.41421
52,40,1.41421
53,52,1
53,42,1
53,43,1.41421
53,41,1.41421
54,53,1
54,43,1
54,42,1.41421
55,44,1
55,45,1.41421
56,55,1
56,45,1
56,46,1.41421
56,44,1.41421
57,56,1
57,46,1
57,47,1.41421
57,45,1.41421
58,57,1
58,47,1
58,48,1.41421
58,46,1.41421
59,58,1
59,48,1
59,49,1.41421
59,47,1.41421
60,59,1
60,49,1
60,50,1.41421
60,48,1.41421
61,60,1
61,50,1
61,51,1.41421
61,49,1.41421
62,61,1
62,51,1
62,52,1.41421
62,50,1.41421
63,62,1
63,52,1
63,53,1.41421
63,51,1.41421
64,63,1
64,53,1
64,54,1.41421
64,52,1.41421
65,64,1
65,54,1
65,53,1.41421
66,55,1
66,56,1.41421
67,66,1
67,56,1
67,57,1.41421
67,55,1.41421
68,67,1
68,57,1
